model,cost,arch,time_in_gp,pivot_type,protocol,train_seed,eval_seed,delay_h,yield_kg,yield_gated,delta_vs_recipe,delta_gated,recipe_yield_kg,final_P,max_viscosity,visc_exceed,max_Wt,wt_overflow,violation,paa_frac_out_of_band,pivot_h
SP +time,ConcCost,single,+time,-,5 expl,4,700000,0.0,3928.82405166702,3928.82405166702,461.49514940219524,461.49514940219524,3467.3289022648246,29.14983658170652,85.88408265044282,False,110147.70123795104,False,0,0.0113043478260869,55.0
SP -time,ConcCost,single,-time,-,5 expl,4,700000,0.0,3400.9905370909755,3400.9905370909755,-66.33836517384907,-66.33836517384907,3467.3289022648246,26.566742064872617,86.46311585451994,False,104119.577183142,False,0,0.0113043478260869,55.0
SP +time,ConcCost,single,+time,-,5 expl,4,700001,0.0,4076.720828274182,4076.720828274182,502.8216175873313,502.8216175873313,3573.899210686851,29.81680333131186,76.06177127596811,False,113255.84119613437,False,0,0.0191304347826086,60.0
SP -time,ConcCost,single,-time,-,5 expl,4,700001,0.0,3842.837385666146,3842.837385666146,268.9381749792951,268.9381749792951,3573.899210686851,28.66119195292454,74.29173305283679,False,109861.69137091322,False,0,0.0191304347826086,55.0
SP +time,ConcCost,single,+time,-,5 expl,4,700002,0.0,3456.767520363879,3456.767520363879,-239.850702922673,-239.850702922673,3696.618223286552,25.831975672435952,98.2651879549562,False,105049.01906199096,False,0,0.0,55.0
SP -time,ConcCost,single,-time,-,5 expl,4,700002,0.0,3664.5658461661633,3664.5658461661633,-32.05237712038888,-32.05237712038888,3696.618223286552,29.55263996851603,94.50995856951135,False,99094.33500097862,False,0,0.0,55.0
SP +time,ConcCost,single,+time,-,5 expl,4,700003,0.0,4086.0617633424745,4086.0617633424745,559.4731631930526,559.4731631930526,3526.588600149422,29.430061965174698,79.83623716275693,False,114081.8289023311,False,0,0.0208695652173913,65.0
SP -time,ConcCost,single,-time,-,5 expl,4,700003,0.0,3822.215920639996,3822.215920639996,295.6273204905742,295.6273204905742,3526.588600149422,28.18605151537437,77.69609106727215,False,109996.13531015994,False,0,0.02,60.0
SP +time,ConcCost,single,+time,-,5 expl,4,700004,0.0,3602.2350470146557,3602.2350470146557,387.72844025735776,387.72844025735776,3214.506606757298,26.231671749720533,84.49545427241164,False,111466.80521781108,False,0,0.0243478260869565,55.0
SP -time,ConcCost,single,-time,-,5 expl,4,700004,0.0,3104.4672264207416,3104.4672264207416,-110.0393803365564,-110.0393803365564,3214.506606757298,23.872680371193947,85.27449390303615,False,104978.6701082376,False,0,0.0234782608695652,55.0
SP +time,ConcCost,single,+time,-,5 expl,4,700005,0.0,4798.278597520074,4798.278597520074,676.2837267805744,676.2837267805744,4121.9948707395,36.10150143771636,90.23530632835008,False,109470.04120520526,False,0,0.0,55.0
SP -time,ConcCost,single,-time,-,5 expl,4,700005,0.0,4265.553021622783,4265.553021622783,143.5581508832829,143.5581508832829,4121.9948707395,33.41375420468065,89.48824141339003,False,104245.29482768134,False,0,0.0,55.0
SP +time,ConcCost,single,+time,-,5 expl,4,700006,0.0,4598.994822606385,4598.994822606385,613.2366138672965,613.2366138672965,3985.758208739089,33.55547710227922,88.47428274025339,False,110128.8444704144,False,0,0.0,55.0
SP -time,ConcCost,single,-time,-,5 expl,4,700006,0.0,4023.714878048895,4023.714878048895,37.95666930980633,37.95666930980633,3985.758208739089,30.63290766060196,89.22010344084742,False,105474.0375499926,False,0,0.0,55.0
SP +time,ConcCost,single,+time,-,5 expl,4,700007,0.0,3769.417430333322,3769.417430333322,414.2181234915379,414.2181234915379,3355.199306841784,27.535232701570784,85.33620356820616,False,110622.93966338474,False,0,0.0,55.0
SP -time,ConcCost,single,-time,-,5 expl,4,700007,0.0,3261.032546540442,3261.032546540442,-94.16676030134204,-94.16676030134204,3355.199306841784,25.0902078739934,86.17748220909384,False,104647.55722740128,False,0,0.0,55.0
SP +time,ConcCost,single,+time,-,5 expl,4,700008,0.0,3786.563109493653,3786.563109493653,482.7351141197337,482.7351141197337,3303.8279953739193,26.85023405567104,78.4301471191229,False,114012.69950092114,False,0,0.0243478260869565,65.0
SP -time,ConcCost,single,-time,-,5 expl,4,700008,0.0,3571.079963041236,3571.079963041236,267.2519676673169,267.2519676673169,3303.8279953739193,25.909335870362185,76.44359239441184,False,110100.76108982756,False,0,0.0234782608695652,60.0
SP +time,ConcCost,single,+time,-,5 expl,4,700009,0.0,3911.0170078152487,3911.0170078152487,522.2267043965026,522.2267043965026,3388.790303418746,27.683308194067717,80.08500476684536,False,115108.9921966972,False,0,0.0104347826086956,65.0
SP -time,ConcCost,single,-time,-,5 expl,4,700009,0.0,3669.4337437167023,3669.4337437167023,280.6434402979562,280.6434402979562,3388.790303418746,26.56015751303291,77.78627108556812,False,111237.5830508038,False,0,0.0095652173913043,60.0
SP +time,ConcCost,single,+time,-,5 expl,4,700000,20.0,3800.793371283424,3800.793371283424,552.4829300909964,552.4829300909964,3248.310441192428,29.005282359343067,82.56262514049654,False,107603.41530546977,False,0,0.0121739130434782,65.0
SP -time,ConcCost,single,-time,-,5 expl,4,700000,20.0,3606.4982312580314,3606.4982312580314,358.1877900656036,358.1877900656036,3248.310441192428,28.13846740574947,80.54033705218102,False,103988.6857426162,False,0,0.0113043478260869,65.0
SP +time,ConcCost,single,+time,-,5 expl,4,700001,20.0,3946.9711835628223,3946.9711835628223,546.1168903857088,546.1168903857088,3400.8542931771135,29.827339452892595,74.5902351789147,False,110896.9346630244,False,0,0.0191304347826086,75.0
