model,cost,arch,time_in_gp,pivot_type,protocol,n_batches,n_train_seeds,delta_mean,delta_sd_across_seeds,delta_per_seed,slope_mean,slope_sd,slope_signs,mean_abs_slope,violations,violation_rate_pct,worst_max_viscosity,yield_mean,final_P_mean
SP +time,ConcCost,single,+time,-,5 expl,150,3,316.8499992550232,69.33579571383208,380;328;242,-1.7434825585188702,1.1212661751973994,all -,1.7434825585188702,4,2.666666666666667,108.7279712324994,3435.668546043872,26.629189922697563
MassCost SP +time,MassCost,single,+time,-,5 expl,150,3,314.11941416846247,108.19386782514297,324;417;201,-1.9470647165124548,0.7637504969671535,all -,1.9470647165124548,3,2.0,144.40019388474633,3432.937960957311,26.696244637819692
MP 10expl,ConcCost,multi,-time,fixed 100h,10 expl,150,3,234.9811205111786,168.56211847871722,356;306;43,0.8014969481491961,1.6440243371000922,mixed,1.0663747196551692,1,0.6666666666666667,103.0437122653081,3353.799667300027,27.054502103279138
MP priors,ConcCost,multi,-time,fixed 100h,5 expl + recipe priors,150,3,208.35608748045343,101.4102330582999,288;94;244,-2.894374117481638,2.0283329654943794,all -,2.894374117481638,3,2.0,114.4757091672935,3327.1746342693023,25.836569439390882
SP -time,ConcCost,single,-time,-,5 expl,150,3,192.39326599685728,157.74521891641496,333;22;223,-0.15440837190783963,2.885753402981486,mixed,1.9805237416858876,0,0.0,94.50995856951135,3311.2118127857057,26.863383977447338
MP probes,ConcCost,multi,-time,fixed 100h,1 expl + 4 probes,150,3,178.97481969904797,108.39939586669715,129;104;303,1.4658395283164332,0.843657661004351,all +,1.4658395283164332,1,0.6666666666666667,110.68703228938466,3297.7933664878965,26.906048547320797
MassCost MP +time,MassCost,multi,+time,fixed 100h,5 expl,150,3,141.24669094400028,249.21400947904718,290;280;-146,-3.0034656873058663,2.1484157859910686,all -,3.0034656873058663,9,6.0,112.59619346020054,3260.065237732849,25.898160703819872
MP fixed +time,ConcCost,multi,+time,fixed 100h,5 expl,150,3,105.54256907310885,321.93601654945076,338;240;-262,1.0764788236544005,3.4021211011273014,mixed,2.9225436146890984,1,0.6666666666666667,100.23084998674832,3224.3611158619574,26.369232554003375
MP Type3 biomass split+blend,ConcCost,multi,-time,biomass split+blend,5 expl,150,3,58.39807451123673,169.59275090172895,199;-130;106,-0.21376584438262602,5.364187885587669,mixed,4.0169754361047305,5,3.3333333333333335,176.08906781397656,3177.216621300085,26.127697641364247
MassCost SP -time,MassCost,single,-time,-,5 expl,150,3,48.21655941454703,213.49918341382124,-93;-56;294,-1.828508986074579,4.106412741147245,mixed,3.688279588130436,0,0.0,95.86451487578836,3167.0351062033956,25.959765924402337
recipe,-,recipe,-,-,-,50,1,0.0,,0,0.0,,mixed,0.0,0,0.0,89.91661436648259,3118.818546788848,26.22234394473813
MassCost MP -time,MassCost,multi,-time,fixed 100h,5 expl,150,3,-8.69011877028826,461.6504690013816,-532;164;342,-1.1109135910459031,3.2507151686382123,mixed,2.5799337638868223,8,5.333333333333334,166.38037032078003,3110.1284280185605,24.63537335677627
MP fixed -time,ConcCost,multi,-time,fixed 100h,5 expl,150,3,-19.12566334225761,296.74436917624615,290;-45;-302,0.4258128487849852,3.1752080560715523,mixed,2.4066797321554656,0,0.0,98.85728520162029,3099.6928834465907,25.85434453954903
MP Type2 biomass split,ConcCost,multi,-time,biomass split,5 expl,150,3,-78.21652018657176,601.1480653507506,278;-772;260,0.19751546611346446,3.647578521396541,mixed,2.675946507215274,1,0.6666666666666667,101.4128630004729,3040.6020266022765,25.09363641679165
