model,delay_h,n_train_seeds,delta_mean,delta_sd,delta_gated_mean,yield_mean,violations,max_visc,pivot_h,cost,arch,time_in_gp,pivot_type,protocol
MP 10expl,0.0,3,96.34729334948729,196.974426393613,-10.416052852056529,3659.798516175286,1,103.0437122653081,53.666666666666664,ConcCost,multi,-time,fixed 100h,10 expl
MP 10expl,20.0,3,316.3762304205186,119.88307045258148,316.3762304205186,3677.7326001868933,0,89.87648323633925,66.66666666666667,ConcCost,multi,-time,fixed 100h,10 expl
MP 10expl,40.0,3,295.83516036165435,211.18876647275243,295.83516036165435,3437.0122251939683,0,86.37671598524511,84.0,ConcCost,multi,-time,fixed 100h,10 expl
MP 10expl,60.0,3,263.323630099133,209.46333001353872,263.323630099133,3171.328565258278,0,84.27025009428166,105.16666666666667,ConcCost,multi,-time,fixed 100h,10 expl
MP 10expl,80.0,3,203.02328832509966,154.82280447746354,203.02328832509966,2823.12642968571,0,80.64440586977241,124.0,ConcCost,multi,-time,fixed 100h,10 expl
MP Type2 biomass split,0.0,3,-107.72522747890183,679.1110106899076,-217.87869689505337,3455.7259953468965,1,101.4128630004729,69.66666666666667,ConcCost,multi,-time,biomass split,5 expl
MP Type2 biomass split,20.0,3,-69.06322025634257,734.426480404549,-69.06322025634257,3292.2931495100324,0,93.57169997668822,80.33333333333333,ConcCost,multi,-time,biomass split,5 expl
MP Type2 biomass split,40.0,3,-58.44761654767797,635.9427618594916,-58.44761654767797,3082.7294482846355,0,90.59582658993725,96.33333333333333,ConcCost,multi,-time,biomass split,5 expl
MP Type2 biomass split,60.0,3,-66.68249130841961,547.7063411372931,-66.68249130841961,2841.3224438507254,0,89.27205273703291,117.16666666666667,ConcCost,multi,-time,biomass split,5 expl
MP Type2 biomass split,80.0,3,-89.16404534151688,413.64464252920425,-89.16404534151688,2530.939096019093,0,86.6629056225777,126.5,ConcCost,multi,-time,biomass split,5 expl
MP Type3 biomass split+blend,0.0,3,-95.82112725592317,280.04152974941877,-416.5296040748569,3467.6300955698753,4,176.08906781397656,55.666666666666664,ConcCost,multi,-time,biomass split+blend,5 expl
MP Type3 biomass split+blend,20.0,3,228.08569641860967,143.22783633729736,107.00829200574947,3589.442066184985,1,101.29723763542684,71.66666666666667,ConcCost,multi,-time,biomass split+blend,5 expl
MP Type3 biomass split+blend,40.0,3,133.0252337055426,263.77659437684764,133.0252337055426,3274.2022985378567,0,86.11062802485714,97.5,ConcCost,multi,-time,biomass split+blend,5 expl
MP Type3 biomass split+blend,60.0,3,59.71086634567084,292.1280005267597,59.71086634567084,2967.7158015048158,0,82.55062920789916,117.33333333333333,ConcCost,multi,-time,biomass split+blend,5 expl
MP Type3 biomass split+blend,80.0,3,-33.01029665771629,319.0023218703763,-33.01029665771629,2587.092844702894,0,78.81621920109248,137.33333333333334,ConcCost,multi,-time,biomass split+blend,5 expl
MP fixed +time,0.0,3,53.168807128028256,422.4033758124747,53.168807128028256,3616.620029953827,0,98.3195631605831,65.83333333333333,ConcCost,multi,+time,fixed 100h,5 expl
MP fixed +time,20.0,3,80.58776590745383,395.2342482507302,-26.461121096339884,3441.9441356738284,1,100.23084998674832,79.16666666666667,ConcCost,multi,+time,fixed 100h,5 expl
MP fixed +time,40.0,3,120.01003216976166,310.61063813177543,120.01003216976166,3261.1870970020755,0,94.0339461952561,95.0,ConcCost,multi,+time,fixed 100h,5 expl
MP fixed +time,60.0,3,145.67133542621056,288.18029957868237,145.67133542621056,3053.6762705853557,0,92.1047135709792,113.5,ConcCost,multi,+time,fixed 100h,5 expl
MP fixed +time,80.0,3,128.27490473408997,231.4846677884384,128.27490473408997,2748.3780460947,0,87.16056940654379,129.83333333333334,ConcCost,multi,+time,fixed 100h,5 expl
MP fixed -time,0.0,3,-39.47685039088615,350.6649848574835,-39.47685039088615,3523.9743724349123,0,98.85728520162029,57.5,ConcCost,multi,-time,fixed 100h,5 expl
MP fixed -time,20.0,3,-32.37933528833065,378.31151806932905,-32.37933528833065,3328.9770344780445,0,87.72193561804337,74.33333333333333,ConcCost,multi,-time,fixed 100h,5 expl
MP fixed -time,40.0,3,-9.732510161707731,328.60436963511,-9.732510161707731,3131.444554670606,0,84.07806559855197,91.0,ConcCost,multi,-time,fixed 100h,5 expl
MP fixed -time,60.0,3,-1.9087754276213407,273.5315486967921,-1.9087754276213407,2906.0961597315236,0,80.97033918939685,112.83333333333333,ConcCost,multi,-time,fixed 100h,5 expl
MP fixed -time,80.0,3,-12.13084544274227,196.13939007882828,-12.13084544274227,2607.9722959178675,0,77.0396558542492,130.83333333333334,ConcCost,multi,-time,fixed 100h,5 expl
MP priors,0.0,3,278.9084556405442,32.3766899035563,176.25712621160156,3842.3596784663428,1,114.4757091672935,64.33333333333333,ConcCost,multi,-time,fixed 100h,5 expl + recipe priors
MP priors,20.0,3,350.72617706383636,89.12098053267967,350.72617706383636,3712.0825468302114,0,99.30290498609249,78.66666666666667,ConcCost,multi,-time,fixed 100h,5 expl + recipe priors
MP priors,40.0,3,184.13345529388627,152.02046657538872,113.58987321507368,3325.3105201262,1,109.42783484616896,99.5,ConcCost,multi,-time,fixed 100h,5 expl + recipe priors
MP priors,60.0,3,126.35643395940336,153.41619314215154,53.28962206119007,3034.361369118548,1,106.2305183554759,113.0,ConcCost,multi,-time,fixed 100h,5 expl + recipe priors
MP priors,80.0,3,101.65591544459694,155.58723021061118,101.65591544459694,2721.759056805207,0,89.77837895604245,128.66666666666666,ConcCost,multi,-time,fixed 100h,5 expl + recipe priors
MP probes,0.0,3,46.125606150589014,105.12002485773485,-55.21639734642449,3609.576828976388,1,110.68703228938466,56.0,ConcCost,multi,-time,fixed 100h,1 expl + 4 probes
MP probes,20.0,3,208.62881013697745,156.62558571441878,208.62881013697745,3569.9851799033527,0,88.84360084265938,70.66666666666667,ConcCost,multi,-time,fixed 100h,1 expl + 4 probes
MP probes,40.0,3,233.32633976521993,137.93725629157043,233.32633976521993,3374.5034045975335,0,86.39279632880405,83.0,ConcCost,multi,-time,fixed 100h,1 expl + 4 probes
MP probes,60.0,3,219.53875678346495,96.53069870965847,219.53875678346495,3127.54369194261,0,83.93849688200898,101.5,ConcCost,multi,-time,fixed 100h,1 expl + 4 probes
MP probes,80.0,3,187.25458565898853,52.179015259228,187.25458565898853,2807.3577270195988,0,80.69352921897212,122.5,ConcCost,multi,-time,fixed 100h,1 expl + 4 probes
MassCost MP +time,0.0,3,302.0029980970158,159.24861668801594,-534.4710813320202,3865.4542209228143,7,112.59619346020054,,MassCost,multi,+time,fixed 100h,5 expl
MassCost MP +time,20.0,3,202.68407456386146,250.59985765861896,109.20351773854732,3564.040444330236,1,107.62161430202951,,MassCost,multi,+time,fixed 100h,5 expl
MassCost MP +time,40.0,3,78.94432409181013,315.8354482390586,-7.009244023692872,3220.121388924124,1,106.66000393867807,,MassCost,multi,+time,fixed 100h,5 expl
MassCost MP +time,60.0,3,39.207182637908396,299.676452973992,39.207182637908396,2947.2121177970535,0,92.00027941956802,,MassCost,multi,+time,fixed 100h,5 expl
MassCost MP +time,80.0,3,83.39487532940569,256.5985347389614,83.39487532940569,2703.4980166900154,0,86.71918126729979,,MassCost,multi,+time,fixed 100h,5 expl
MassCost MP -time,0.0,3,83.71012413445155,275.52003375024947,-242.42664832405816,3647.1613469602503,4,166.38037032078003,,MassCost,multi,-time,fixed 100h,5 expl
MassCost MP -time,20.0,3,-28.70201124211898,524.6524290989234,-205.88292450326932,3332.6543585242557,2,109.9486677516686,,MassCost,multi,-time,fixed 100h,5 expl
MassCost MP -time,40.0,3,-41.13793900752372,545.6100850078642,-125.96340226645576,3100.0391258247896,1,107.86373202530513,,MassCost,multi,-time,fixed 100h,5 expl
MassCost MP -time,60.0,3,-31.17705429010378,559.4247098585271,-103.73894567450134,2876.827880869041,1,109.56404274343298,,MassCost,multi,-time,fixed 100h,5 expl
MassCost MP -time,80.0,3,-26.143713446146347,454.97068019767016,-26.143713446146347,2593.9594279144635,0,86.69243445670574,,MassCost,multi,-time,fixed 100h,5 expl
MassCost SP +time,0.0,3,405.69279533845446,65.75931697799773,405.69279533845446,3969.1440181642524,0,96.65674521544992,,MassCost,single,+time,-,5 expl
MassCost SP +time,20.0,3,309.42689900753857,187.9785048349545,255.2072762123099,3670.7832687739137,1,144.40019388474633,,MassCost,single,+time,-,5 expl
MassCost SP +time,40.0,3,348.0569338068089,127.67862535816612,258.7613637003374,3489.233998639123,1,104.12143511014212,,MassCost,single,+time,-,5 expl
MassCost SP +time,60.0,3,283.4413389970643,112.74612566145295,209.04205053588808,3191.4462741562093,1,108.91773588231814,,MassCost,single,+time,-,5 expl
MassCost SP +time,80.0,3,223.9791036924461,113.76947112664931,223.9791036924461,2844.082245053056,0,85.59150386825466,,MassCost,single,+time,-,5 expl
MassCost SP -time,0.0,3,75.27377492778619,351.06527443644194,75.27377492778619,3638.724997753585,0,95.86451487578836,,MassCost,single,-time,-,5 expl
MassCost SP -time,20.0,3,127.33655997062435,209.8604662510224,127.33655997062435,3488.6929297369993,0,82.7817893578977,,MassCost,single,-time,-,5 expl
MassCost SP -time,40.0,3,81.2300754252713,175.10921518440045,81.2300754252713,3222.407140257585,0,79.52418803604465,,MassCost,single,-time,-,5 expl
MassCost SP -time,60.0,3,2.302460886825694,234.11025232671085,2.302460886825694,2910.307396045971,0,78.48269306979998,,MassCost,single,-time,-,5 expl
MassCost SP -time,80.0,3,-45.06007413777235,252.42376358379923,-45.06007413777235,2575.0430672228376,0,76.05690838443998,,MassCost,single,-time,-,5 expl
SP +time,0.0,3,387.50203010652496,56.525334271214454,287.811630653381,3950.9532529323237,1,107.19077495143392,68.5,ConcCost,single,+time,-,5 expl
SP +time,20.0,3,364.8060946124485,148.30286855413158,266.42667873174037,3726.162464378823,1,106.35039571687078,79.16666666666667,ConcCost,single,+time,-,5 expl
SP +time,40.0,3,309.0844710169559,82.0176275425238,218.6696145559132,3450.26153584927,1,106.11142649984797,93.16666666666667,ConcCost,single,+time,-,5 expl
SP +time,60.0,3,254.6011579566485,74.66313256024738,181.10627043935668,3162.6060931157936,1,108.7279712324994,105.33333333333333,ConcCost,single,+time,-,5 expl
SP +time,80.0,3,268.25624258253794,26.04215386729614,268.25624258253794,2888.3593839431483,0,87.25150238821762,121.16666666666667,ConcCost,single,+time,-,5 expl
SP -time,0.0,3,148.86830530121654,45.00287706438725,148.86830530121654,3712.319528127015,0,94.50995856951135,59.166666666666664,ConcCost,single,-time,-,5 expl
SP -time,20.0,3,220.98922786267931,155.6126700363746,220.98922786267931,3582.345597629054,0,87.39063106715544,77.66666666666667,ConcCost,single,-time,-,5 expl
SP -time,40.0,3,239.18988048075025,212.3664953908753,239.18988048075025,3380.366945313064,0,86.09932337933238,97.66666666666667,ConcCost,single,-time,-,5 expl
SP -time,60.0,3,217.99366859573624,222.4775375466217,217.99366859573624,3125.998603754881,0,85.7011324407224,112.5,ConcCost,single,-time,-,5 expl
SP -time,80.0,3,134.92524774390407,227.56653835636337,134.92524774390407,2755.028389104514,0,83.55578665683873,131.66666666666666,ConcCost,single,-time,-,5 expl
recipe,0.0,1,0.0,,0.0,3563.451222825798,0,89.91661436648259,63.0,-,recipe,-,-,-
