model,cost,arch,time_in_gp,pivot_type,protocol,n_batches,n_train_seeds,n_eval_seeds,n_delay_levels,d0h_delta_mean,d0h_delta_median,d0h_delta_sd,d0h_delta_gated_mean,d0h_yield_mean,d0h_yield_sd_batches,d0h_recipe_yield,d0h_violations,d0h_max_visc,d0h_pivot_h,d20h_delta_mean,d20h_delta_median,d20h_delta_sd,d20h_delta_gated_mean,d20h_yield_mean,d20h_yield_sd_batches,d20h_recipe_yield,d20h_violations,d20h_max_visc,d20h_pivot_h,d40h_delta_mean,d40h_delta_median,d40h_delta_sd,d40h_delta_gated_mean,d40h_yield_mean,d40h_yield_sd_batches,d40h_recipe_yield,d40h_violations,d40h_max_visc,d40h_pivot_h,d60h_delta_mean,d60h_delta_median,d60h_delta_sd,d60h_delta_gated_mean,d60h_yield_mean,d60h_yield_sd_batches,d60h_recipe_yield,d60h_violations,d60h_max_visc,d60h_pivot_h,d80h_delta_mean,d80h_delta_median,d80h_delta_sd,d80h_delta_gated_mean,d80h_yield_mean,d80h_yield_sd_batches,d80h_recipe_yield,d80h_violations,d80h_max_visc,d80h_pivot_h,delta_mean,delta_median,delta_sd_across_seeds,delta_min_seed,delta_max_seed,delta_per_seed,delta_drop_worst_mean,delta_drop_worst_sd,delta_gated_mean,n_seeds_below_recipe,collapse_rate_seeds_pct,slope_mean,slope_sd,slope_abs_mean,slope_per_seed,slope_signs,slope_p_across_seeds,yield_mean,yield_median,yield_sd_batches,yield_min,yield_max,yield_gated_mean,final_P_mean,violations_total,violation_rate_pct,visc_exceed_total,wt_overflow_total,max_viscosity_worst,max_Wt_worst,paa_frac_out_of_band_mean
SP +time,ConcCost,single,+time,-,5 expl,150,3,10,5,387.50203010652496,398.0088222192959,56.525334271214454,287.811630653381,3950.953252932323,362.73241277791135,3563.4512228257986,1,107.19077495143392,68.5,364.80609461244836,444.04318844130574,148.30286855413158,266.4266787317403,3726.1624643788236,337.44477619346156,3361.3563697663753,1,106.35039571687078,79.16666666666667,309.0844710169559,324.55039930452955,82.0176275425238,218.6696145559132,3450.2615358492694,306.5065209571312,3141.1770648323136,1,106.11142649984797,93.16666666666667,254.6011579566485,221.01453167222127,74.66313256024738,181.10627043935668,3162.606093115794,383.2804373438737,2908.0049351591447,1,108.7279712324994,105.33333333333333,268.25624258253794,269.06107851084784,26.042153867296133,268.25624258253794,2888.3593839431483,245.5379497679798,2620.1031413606106,0,87.25150238821762,121.16666666666667,316.8499992550232,328.41083451527436,69.33579571383208,242.4604504298864,379.67871281990875,380;328;242,354.0447736675916,36.25186440625366,244.45408739258585,0,0.0,-1.7434825585188702,1.1212661751973994,1.7434825585188702,-1.96;-2.74;-0.53,all -,0.11464006536143008,3435.668546043872,3483.3635984294456,502.19487428915556,2204.8466255187536,4798.278597520074,3363.2726341814346,26.629189922697563,4,2.666666666666667,4,0,108.7279712324994,115108.9921966972,0.011211594202898528
MassCost SP +time,MassCost,single,+time,-,5 expl,150,3,10,5,405.69279533845446,424.42839090533425,65.75931697799773,405.69279533845446,3969.1440181642533,323.5683935920216,3563.4512228257986,0,96.65674521544992,,309.42689900753857,394.2196238751668,187.97850483495452,255.20727621230984,3670.783268773913,474.57341871281074,3361.3563697663753,1,144.40019388474633,,348.0569338068089,376.64771959429993,127.67862535816612,258.76136370033737,3489.233998639122,355.1961450600662,3141.1770648323136,1,104.12143511014212,,283.4413389970643,266.8685790945658,112.74612566145295,209.04205053588808,3191.4462741562097,369.0103765621999,2908.0049351591447,1,108.91773588231814,,223.9791036924461,251.80968639443668,113.76947112664931,223.9791036924461,2844.082245053056,282.3768587200848,2620.1031413606106,0,85.59150386825466,,314.11941416846247,324.42889339029205,108.19386782514297,201.13982114426682,416.78952797082854,324;417;201,370.6092106805603,65.3088310265901,270.5365178958872,0,0.0,-1.9470647165124548,0.7637504969671535,1.9470647165124548,-1.44;-1.57;-2.83,all -,0.047652404157221794,3432.937960957311,3478.6014323641407,531.285462982278,1626.5886838568604,4648.229565182319,3389.3550646847357,26.696244637819692,3,2.0,3,0,144.40019388474633,116269.57026766628,0.011228985507246355
MP 10expl,ConcCost,multi,-time,fixed 100h,10 expl,150,3,10,5,96.34729334948726,38.29958272286026,196.974426393613,-10.416052852056529,3659.798516175286,348.06065089032785,3563.4512228257986,1,103.0437122653081,53.666666666666664,316.3762304205186,379.2811868700086,119.88307045258148,316.3762304205186,3677.7326001868933,286.06684480842165,3361.3563697663753,0,89.87648323633925,66.66666666666667,295.83516036165435,409.1105496382596,211.1887664727524,295.83516036165435,3437.0122251939683,303.26758556520076,3141.1770648323136,0,86.37671598524511,84.0,263.323630099133,379.0221844465637,209.46333001353872,263.323630099133,3171.328565258277,287.31381775909387,2908.0049351591447,0,84.27025009428166,105.16666666666667,203.02328832509966,271.02256542261944,154.82280447746354,203.02328832509966,2823.1264296857094,238.48988044058146,2620.1031413606106,0,80.64440586977241,124.0,234.9811205111786,306.0711713810036,168.56211847871722,42.51942519531502,356.3527649572171,356;306;43,331.2119681691104,35.55445578660654,213.6284512708698,0,0.0,0.8014969481491961,1.6440243371000922,1.0663747196551692,-0.40;2.68;0.13,mixed,0.4873430300476534,3353.799667300027,3370.9795223947413,435.11188526073863,2352.5801917720173,4445.705130011803,3332.4469980597187,27.054502103279138,1,0.6666666666666667,1,0,103.0437122653081,113806.60572619944,0.011066666666666643
MP priors,ConcCost,multi,-time,fixed 100h,5 expl + recipe priors,150,3,10,5,278.9084556405442,291.8307924188525,32.37668990355628,176.25712621160156,3842.3596784663428,380.5409966280187,3563.4512228257986,1,114.4757091672935,64.33333333333333,350.72617706383636,334.708121777425,89.12098053267967,350.72617706383636,3712.082546830211,366.06951479584484,3361.3563697663753,0,99.30290498609249,78.66666666666667,184.13345529388627,198.6378200204245,152.02046657538875,113.58987321507368,3325.310520126199,401.37678529209,3141.1770648323136,1,109.42783484616896,99.5,126.35643395940336,164.1252174717867,153.4161931421515,53.28962206119007,3034.3613691185483,403.6935050421755,2908.0049351591447,1,106.2305183554759,113.0,101.65591544459694,163.00774771417747,155.58723021061118,101.65591544459694,2721.7590568052065,296.65386604985696,2620.1031413606106,0,89.77837895604245,128.66666666666666,208.35608748045343,243.50268304394723,101.4102330582999,94.04824062671858,287.51733877069455,288;94;244,265.51001090732086,31.12306153597434,159.10374279925975,0,0.0,-2.894374117481638,2.0283329654943794,2.894374117481638,-1.74;-5.24;-1.71,all -,0.13204104546293277,3327.1746342693023,3383.2129768186587,555.6973985467865,2116.3074623643774,4703.935123458193,3277.922289588108,25.836569439390882,3,2.0,3,0,114.4757091672935,113446.6178774178,0.011101449275362297
SP -time,ConcCost,single,-time,-,5 expl,150,3,10,5,148.86830530121654,160.67890572875518,45.00287706438725,148.86830530121654,3712.3195281270155,325.94184793261286,3563.4512228257986,0,94.50995856951135,59.166666666666664,220.98922786267931,208.25930231005486,155.6126700363746,220.98922786267931,3582.3455976290543,333.5713158587453,3361.3563697663753,0,87.39063106715544,77.66666666666667,239.18988048075025,276.8342472933593,212.3664953908753,239.18988048075025,3380.3669453130638,319.1265372769936,3141.1770648323136,0,86.09932337933238,97.66666666666667,217.99366859573624,263.35434395883954,222.47753754662173,217.99366859573624,3125.998603754882,305.2044915177275,2908.0049351591447,0,85.7011324407224,112.5,134.92524774390407,179.58487879461327,227.56653835636337,134.92524774390407,2755.0283891045137,283.609617749231,2620.1031413606106,0,83.55578665683873,131.66666666666666,192.39326599685728,222.96417969243038,157.74521891641496,21.600193522532894,332.61542477560863,333;22;223,277.7898022340195,77.53513896386342,192.39326599685725,0,0.0,-0.15440837190783963,2.885753402981486,1.9805237416858876,2.54;-3.20;0.20,mixed,0.9346076852712346,3311.2118127857057,3307.409177191469,461.83105530062085,2336.3200398034214,4460.540632289098,3311.2118127857057,26.863383977447338,0,0.0,0,0,94.50995856951135,111237.5830508038,0.011107246376811571
MP probes,ConcCost,multi,-time,fixed 100h,1 expl + 4 probes,150,3,10,5,46.125606150589014,2.0628138429843603,105.12002485773486,-55.21639734642449,3609.5768289763873,348.1335562041897,3563.4512228257986,1,110.68703228938466,56.0,208.62881013697745,160.17070398242618,156.62558571441878,208.62881013697745,3569.9851799033527,327.9091626490974,3361.3563697663753,0,88.84360084265938,70.66666666666667,233.32633976521993,166.54656718882183,137.93725629157043,233.32633976521993,3374.5034045975344,306.40115228252165,3141.1770648323136,0,86.39279632880405,83.0,219.53875678346495,174.8329444143456,96.53069870965847,219.53875678346495,3127.5436919426097,274.281020841896,2908.0049351591447,0,83.93849688200898,101.5,187.25458565898853,175.40384531059613,52.179015259228,187.25458565898853,2807.357727019598,219.63509843870327,2620.1031413606106,0,80.69352921897212,122.5,178.97481969904797,129.43234548729103,108.39939586669715,104.19915097155578,303.2929626382971,129;104;303,216.3626540627941,122.93802136875458,158.7064189996453,0,0.0,1.4658395283164332,0.843657661004351,1.4658395283164332,2.13;1.76;0.52,all +,0.0949522975787651,3297.7933664878965,3270.3366092757888,420.42582232460603,2431.1592747607274,4354.729461038774,3277.524965788494,26.906048547320797,1,0.6666666666666667,1,0,110.68703228938466,114983.79034974634,0.011142028985507224
MassCost MP +time,MassCost,multi,+time,fixed 100h,5 expl,150,3,10,5,302.0029980970158,342.5855912955762,159.24861668801594,-534.4710813320202,3865.4542209228143,352.9762692079106,3563.4512228257986,7,112.59619346020054,,202.68407456386146,262.31352976302367,250.599857658619,109.20351773854732,3564.0404443302355,429.1656686836094,3361.3563697663753,1,107.62161430202951,,78.94432409181013,238.30717403175677,315.8354482390586,-7.009244023692872,3220.121388924124,419.19629015525805,3141.1770648323136,1,106.66000393867807,,39.207182637908396,124.05740369749924,299.676452973992,39.207182637908396,2947.212117797054,406.1340162527242,2908.0049351591447,0,92.00027941956802,,83.39487532940569,181.30204538907833,256.5985347389614,83.39487532940569,2703.4980166900154,321.55475639677445,2620.1031413606106,0,86.71918126729979,,141.24669094400028,279.75820651733613,249.21400947904718,-146.45480967325193,290.43667598791666,290;280;-146,285.09744125262637,7.550818175341011,-61.93494992997033,1,33.33333333333333,-3.0034656873058663,2.1484157859910686,3.0034656873058663,-0.53;-4.03;-4.45,all -,0.1364905669947138,3260.065237732849,3237.153505330163,566.8501590847857,2066.0679070202186,4731.105098557994,3056.8835968588783,25.898160703819872,9,6.0,9,0,112.59619346020054,115784.51483427008,0.011217391304347804
MP fixed +time,ConcCost,multi,+time,fixed 100h,5 expl,150,3,10,5,53.168807128028256,165.8631489372865,422.4033758124747,53.168807128028256,3616.6200299538264,464.6273679302786,3563.4512228257986,0,98.3195631605831,65.83333333333333,80.58776590745384,174.85853904440305,395.2342482507303,-26.461121096339866,3441.944135673829,426.7442665031852,3361.3563697663753,1,100.23084998674832,79.16666666666667,120.01003216976166,215.59169876329065,310.61063813177543,120.01003216976166,3261.187097002076,354.5355999894691,3141.1770648323136,0,94.0339461952561,95.0,145.67133542621056,301.2253198638939,288.18029957868237,145.67133542621056,3053.6762705853553,333.1455636037502,2908.0049351591447,0,92.1047135709792,113.5,128.27490473408994,190.3545769894958,231.4846677884384,128.27490473408994,2748.3780460947005,280.1524470072381,2620.1031413606106,0,87.16056940654379,129.83333333333334,105.54256907310885,240.27054077238864,321.93601654945076,-261.86987783420216,338.2270442811401,338;240;-262,289.24879252676436,69.26570789236197,84.13279167235011,1,33.33333333333333,1.0764788236544005,3.4021211011273014,2.9225436146890984,-2.77;2.30;3.69,mixed,0.6386574879432442,3224.3611158619574,3200.773783113997,480.69643679600495,2198.3411034475225,4710.199472262771,3202.9513384611982,26.369232554003375,1,0.6666666666666667,1,0,100.23084998674832,113152.2083833387,0.011107246376811573
MP Type3 biomass split+blend,ConcCost,multi,-time,biomass split+blend,5 expl,150,3,10,5,-95.82112725592317,54.53847470225564,280.04152974941877,-416.5296040748569,3467.6300955698753,698.4938399820716,3563.4512228257986,4,176.08906781397656,55.666666666666664,228.08569641860967,172.72614431628904,143.22783633729736,107.00829200574948,3589.4420661849854,305.340932784682,3361.3563697663753,1,101.29723763542684,71.66666666666667,133.0252337055426,242.47546752145945,263.77659437684764,133.0252337055426,3274.202298537856,332.6786777165097,3141.1770648323136,0,86.11062802485714,97.5,59.71086634567084,196.77315263322484,292.12800052675965,59.71086634567084,2967.715801504816,330.23027447617864,2908.0049351591447,0,82.55062920789916,117.33333333333333,-33.01029665771629,38.80842018380408,319.0023218703763,-33.01029665771629,2587.092844702894,332.1876412759413,2620.1031413606106,0,78.81621920109248,137.33333333333334,58.39807451123673,106.36870472549208,169.59275090172895,-130.01295371902526,198.83847252724337,199;-130;106,152.60358862636772,65.38599986736381,-29.95910173512205,1,33.33333333333333,-0.21376584438262602,5.364187885587669,4.0169754361047305,2.10;-6.35;3.61,mixed,0.9512512693348939,3177.216621300085,3259.1450413181637,556.2292335466016,968.844362182617,4309.361770552524,3088.8594450537266,26.127697641364247,5,3.3333333333333335,5,0,176.08906781397656,112469.67153850244,0.01107246376811592
MassCost SP -time,MassCost,single,-time,-,5 expl,150,3,10,5,75.27377492778619,-7.242367909725178,351.065274436442,75.27377492778619,3638.7249977535844,467.81118457638183,3563.4512228257986,0,95.86451487578836,,127.33655997062435,159.52883928176237,209.8604662510224,127.33655997062435,3488.6929297369993,327.5773699448497,3361.3563697663753,0,82.7817893578977,,81.2300754252713,34.33920848060548,175.10921518440043,81.2300754252713,3222.4071402575846,299.9435255699178,3141.1770648323136,0,79.52418803604465,,2.302460886825694,13.667941306206782,234.11025232671085,2.302460886825694,2910.3073960459706,306.203653092998,2908.0049351591447,0,78.48269306979998,,-45.06007413777235,-3.4317180566590197,252.42376358379923,-45.06007413777235,2575.043067222837,295.4506725644654,2620.1031413606106,0,76.05690838443998,,48.21655941454703,-55.873577183965345,213.49918341382124,-93.27346966015052,293.79672508775695,-93;-56;294,118.9615739518958,247.25424191588468,48.216559414547035,2,66.66666666666666,-1.828508986074579,4.106412741147245,3.688279588130436,-5.07;2.79;-3.21,mixed,0.5212145197694176,3167.0351062033956,3112.1315047859757,516.0480815588062,1952.5305036667637,4636.755784236786,3167.0351062033956,25.959765924402337,0,0.0,0,0,95.86451487578836,112651.67148741963,0.011257971014492735
