arm,delay_h,n,mean_yield,sem_yield,mean_delta,sem_delta,mean_pivot_h
dual,0.0,8,4042.4650327861464,65.41658880845895,565.4776410071545,46.61518871619916,63.75
dual,20.0,8,4001.5378669670217,59.49959457854022,574.3118691316165,43.870721856126856,64.375
dual,40.0,8,3922.7145906583964,77.39072189837937,593.8755560905913,17.89389206755589,69.375
dual,60.0,8,3867.9939133799176,87.46659264018744,597.2057876019387,13.338227303533587,75.625
dual,80.0,8,3773.842204909194,83.26339168794904,572.87374171918,12.766261180110153,85.625
recipe,0.0,8,3476.987391778992,83.69637027274833,0.0,0.0,63.75
recipe,20.0,8,3427.225997835405,81.35867248431833,0.0,0.0,64.375
recipe,40.0,8,3328.839034567805,79.68474542333013,0.0,0.0,69.375
recipe,60.0,8,3270.788125777979,79.66067639028464,0.0,0.0,75.625
recipe,80.0,8,3200.968463190014,76.99499581449565,0.0,0.0,85.625
time,0.0,8,3976.4513296568575,110.80606795855383,499.46393787786593,28.343386826985267,63.75
time,20.0,8,3936.897406689844,106.49254962334153,509.671408854439,26.391344819091806,64.375
time,40.0,8,3837.6049825239043,104.28212133458136,508.7659479560992,25.40638040747688,69.375
time,60.0,8,3787.818310351322,104.149422103312,517.0301845733434,25.25048903612433,75.625
time,80.0,8,3682.953230525878,99.29176036779913,481.984767335864,24.205786429790518,83.125
