condition,policy,decision,hours,dA_dWt,dA_dX,dA_dP,dA_dViscosity,dA_dtime
nominal,dual,0,0,-0.0016361833849072838,0.0011045308251786986,-0.004359072553525915,-0.0031283299602029796,-0.0288540723618953
nominal,dual,1,5,0.001381592370954805,0.0008391075176520725,0.002634537430562531,0.006365912166962103,-0.004012106237979629
nominal,dual,2,10,0.005976072157979376,0.0015327278917943632,0.012529612114842452,0.02311095296689648,0.017378016649850895
nominal,dual,3,15,0.017154523015597393,0.002660055388885262,0.03725213144758697,0.06255663550936169,0.036903054828980625
nominal,dual,4,20,0.04118335688444108,0.004036218602667532,0.09426476663266159,0.14161049204463494,0.03861023510853776
nominal,dual,5,25,0.1882584744651179,0.00931000419315194,-0.29655937698759305,0.4588845796178672,-0.12338761134315947
nominal,dual,6,30,0.7558925268061518,0.030791619103813478,-1.3835561748045453,-1.4305049229259508,-0.008255276448775044
nominal,dual,7,35,1.4036524856785957,0.06946887773099925,-1.5059123393257274,-2.028571173417405,1.9031393949459197
nominal,dual,8,40,1.658416036173514,0.09976752648351286,-0.9159089705610793,-1.4032556669409961,4.060547733286306
nominal,dual,9,45,2.9648674728895763,0.20917582802778537,-0.5737008213776867,-0.6756040305522935,9.169070171359069
nominal,dual,10,50,4.013178119126206,0.3234411738296334,-0.08089811658935311,1.440435752139469,12.72979510421392
nominal,dual,11,55,1.4020247045156593,0.06922948095310211,-0.15346645191556943,1.8106986141902588,2.7325142240719558
nominal,dual,12,60,0.5621282871877838,-0.007863096411396535,-0.1985229766935782,1.7455462973998817,-0.6932749355197867
nominal,dual,13,65,0.1924894783498644,-0.018744322785968475,-0.1637584101575619,1.2111106309986293,-1.2425023298894184
nominal,dual,14,70,0.06050855330759706,-0.004077553395661137,-0.13545681979490695,0.6783500781857325,-0.5723473326771243
nominal,dual,15,75,0.0696626883958063,0.0015967151630211388,-0.18429185627984523,0.5793491996932374,0.08069036995013489
nominal,dual,16,80,0.03750293272781268,-0.007546259335221288,-0.0023258344983918106,0.4671869392003327,0.7696617577445943
nominal,dual,17,85,-0.0288016143432365,-0.01971401862658829,0.2332655824472505,0.22968188109929782,1.3626325241895267
nominal,dual,18,90,-0.11367168171686402,-0.02947156784881899,0.39594199884362863,-0.033148615779459545,1.6156940962252988
nominal,dual,19,95,-0.18377651398149963,-0.029212992852374584,0.3515487647688078,-0.15799991544227218,1.6251816148616087
nominal,dual,20,100,-0.1996289835881902,-0.012907503400215447,-1.2636446763969455e-05,0.01826641991988646,1.754704303394389
nominal,dual,21,105,-0.11423856628672142,0.008147310105172105,-0.47499957615913757,0.3942453265567913,1.9467480508123562
nominal,dual,22,110,0.020180679709413934,0.049219426675353686,-1.383501665133498,0.9835566471067096,2.2755269419122173
nominal,dual,23,115,0.11910354537729417,0.07410577060376337,-1.9403445418569292,1.2383020763718058,1.959626542922485
nominal,dual,24,120,0.12895705710452554,0.0702642065325692,-1.8429235795410237,1.0100251310216077,1.0895125282509353
nominal,dual,25,125,0.09859627355710268,0.05546420974651684,-1.4758426848708581,0.6579289213626298,0.3682093303196687
nominal,dual,26,130,0.08204746686119584,0.04624712392282122,-1.2306748573306954,0.411507511951184,0.0028871245866368693
nominal,dual,27,135,0.15267620078743258,0.05304574178687788,-1.3386643310455348,0.27278479580072895,-0.15714469709382237
nominal,dual,28,140,0.1468346330343344,0.06296077979152376,-1.3340391174040778,0.1259148668410315,-0.10547908752136798
nominal,dual,29,145,0.14084341655793128,0.07910454090954137,-1.310580267936308,-0.003983414312408453,0.09990685126562425
nominal,dual,30,150,0.13586427909167687,0.0968230167451816,-1.2376856821482474,-0.09546382566096305,0.3093146637696412
nominal,dual,31,155,0.25885884079729893,0.1515969591602022,-1.5111743752256588,-0.30350526530898675,0.650132385114926
nominal,dual,32,160,0.21075500560218377,0.16995038893846945,-1.401622868966511,-0.3908672929885223,0.8657841027469796
nominal,dual,33,165,0.108301129485902,0.12543091705259068,-1.0078553995519481,0.008111313274622443,0.3003202929377777
