step,hours,w_phase2,phase1_coverage,phase2_coverage,unsupported_weight
0,0,0.00010201999591920018,1.0,0.0,0.00010201999591920018
1,5,0.0001615187622602087,1.0,0.0,0.0001615187622602087
2,10,0.0002557087461071861,1.0,0.0,0.0002557087461071861
3,15,0.00040480356599651937,1.0,0.0,0.00040480356599651937
4,20,0.0006407746389015761,1.0,0.0,0.0006407746389015761
5,25,0.0010141601474346579,1.0,0.0,0.0010141601474346579
6,30,0.0016047715791856312,1.0,0.0,0.0016047715791856312
7,35,0.0025384604773119493,1.0,0.0,0.0025384604773119493
8,40,0.004013205021368336,1.0,0.0,0.004013205021368336
9,45,0.0063392723651483135,1.0,0.0,0.0063392723651483135
10,50,0.010000000000000002,1.0,0.0,0.010000000000000002
11,55,0.0157411926641112,1.0,0.06666666666666667,0.014691779819837122
12,60,0.024696290238396222,0.9333333333333333,0.13333333333333333,0.08642369885738363
13,65,0.038546388896845696,0.8666666666666667,0.4,0.1513216481518613
14,70,0.059688495579505514,0.6,0.5333333333333333,0.40397923303863376
15,75,0.09132524868434898,0.4666666666666667,0.6666666666666666,0.5150682835964635
16,80,0.13728232287248346,0.3333333333333333,0.8,0.6026015826595078
17,85,0.2012442347150106,0.2,0.9333333333333333,0.6524208945423255
18,90,0.2851568088674799,0.06666666666666667,1.0,0.6671869783903521
19,95,0.38710160096344437,0.0,1.0,0.6128983990365556
20,100,0.5,0.0,1.0,0.5
21,105,0.6128983990365556,0.0,1.0,0.38710160096344437
22,110,0.7148431911325202,0.0,1.0,0.28515680886747985
23,115,0.7987557652849894,0.0,1.0,0.20124423471501063
24,120,0.8627176771275166,0.0,1.0,0.13728232287248343
25,125,0.9086747513156511,0.0,1.0,0.09132524868434888
26,130,0.9403115044204945,0.0,1.0,0.05968849557950551
27,135,0.9614536111031542,0.0,1.0,0.03854638889684581
28,140,0.9753037097616039,0.0,1.0,0.024696290238396146
29,145,0.9842588073358888,0.0,1.0,0.015741192664111225
30,150,0.99,0.0,1.0,0.010000000000000009
31,155,0.9936607276348517,0.0,1.0,0.006339272365148307
32,160,0.9959867949786316,0.0,1.0,0.004013205021368371
33,165,0.9974615395226881,0.0,1.0,0.002538460477311877
34,170,0.9983952284208144,0.0,1.0,0.0016047715791855932
35,175,0.9989858398525653,0.0,1.0,0.0010141601474347173
36,180,0.9993592253610984,0.0,1.0,0.0006407746389015534
37,185,0.9995951964340034,0.0,1.0,0.00040480356599659206
38,190,0.9997442912538927,0.0,1.0,0.0002557087461072527
39,195,0.9998384812377399,0.0,1.0,0.00016151876226011552
40,200,0.9998979800040808,0.0,1.0,0.0001020199959191892
41,205,0.9999355625856108,0.0,1.0,6.44374143892179e-05
42,210,0.9999593008915123,0.0,1.0,4.06991084876962e-05
43,215,0.9999742943915243,0.0,1.0,2.5705608475701247e-05
44,220,0.9999837643948071,0.0,1.0,1.6235605192926883e-05
45,225,0.9999897456636132,0.0,1.0,1.0254336386794627e-05
