episode,split_step,split_h,crossed,w_at_split
0,15,75.0,1,0.09132524868434898
1,11,55.0,1,0.0157411926641112
2,13,65.0,1,0.038546388896845696
3,12,60.0,1,0.024696290238396222
4,13,65.0,1,0.038546388896845696
5,17,85.0,1,0.2012442347150106
6,17,85.0,1,0.2012442347150106
7,18,90.0,1,0.2851568088674799
8,16,80.0,1,0.13728232287248346
9,16,80.0,1,0.13728232287248346
10,15,75.0,1,0.09132524868434898
11,14,70.0,1,0.059688495579505514
12,13,65.0,1,0.038546388896845696
13,13,65.0,1,0.038546388896845696
14,14,70.0,1,0.059688495579505514
