feed_delay_h,eval_seed,crossing_h,bm_max
0.0,700000,60.0,2310.7763990463927
0.0,700001,65.0,1979.6644471735851
0.0,700002,60.0,2583.8778848752772
0.0,700003,70.0,2123.1073663015914
0.0,700004,60.0,2266.5548742356946
0.0,700005,60.0,2389.317858804886
0.0,700006,60.0,2356.3941132914993
0.0,700007,60.0,2295.6254823730483
0.0,700008,70.0,2073.5795271690095
0.0,700009,65.0,2145.3001206945414
0.0,700010,65.0,1966.979627602092
0.0,700011,60.0,2414.7212997204624
0.0,700012,60.0,2349.38267204835
0.0,700013,55.0,2446.1373017890687
0.0,700014,60.0,2302.855286675167
0.0,700015,60.0,2467.370096581508
0.0,700016,55.0,2213.057451222016
0.0,700017,60.0,2137.580371238978
0.0,700018,65.0,1969.3978169841644
0.0,700019,60.0,2299.019532643357
40.0,700000,85.0,2000.4905981289953
40.0,700001,100.0,1907.8069111159648
40.0,700002,85.0,2439.108425325615
40.0,700003,95.0,2065.4628236193885
40.0,700004,85.0,1943.7170165845423
40.0,700005,90.0,2253.085142227231
40.0,700006,90.0,2096.4051962153912
40.0,700007,85.0,1993.663516796922
40.0,700008,95.0,1902.9360654447962
40.0,700009,95.0,2022.3448497489867
40.0,700010,100.0,1812.1745092597198
40.0,700011,90.0,2111.2849874624303
40.0,700012,90.0,2073.45256057735
40.0,700013,85.0,2164.2228717427743
40.0,700014,90.0,2124.184158020635
40.0,700015,85.0,2164.9612947267897
40.0,700016,90.0,1906.1746627088444
40.0,700017,90.0,1942.905920985067
40.0,700018,100.0,1807.8840021544124
40.0,700019,90.0,2119.8169640212877
80.0,700000,130.0,1815.531479660709
80.0,700001,145.0,1884.9484480415915
80.0,700002,120.0,2167.813227453467
80.0,700003,140.0,1900.5190931847094
80.0,700004,140.0,1666.5574974362905
80.0,700005,125.0,2031.901762329973
80.0,700006,125.0,1819.8597617973642
80.0,700007,130.0,1772.1951605598817
80.0,700008,140.0,1684.25548642291
80.0,700009,130.0,1800.004427846475
80.0,700010,145.0,1719.7086947349046
80.0,700011,125.0,1757.1298164540956
80.0,700012,125.0,1822.350050498296
80.0,700013,125.0,1819.2084891684542
80.0,700014,125.0,1889.0944997930724
80.0,700015,125.0,1789.5135696511286
80.0,700016,140.0,1628.5576254622745
80.0,700017,140.0,1795.2307560781621
80.0,700018,145.0,1602.0632649416625
80.0,700019,130.0,1869.8164236480447
