batch,kind,yield_kg,t_peak,mu_peak,s_peak,X_peak,qP_max
1_fs1.0,nom,3638.542090043814,65.0,0.014899005823546394,0.0019223833946048667,19.317053162342443,0.015516101232346025
2_fs1.0,nom,3207.172661518576,73.60000000000001,0.012682607008476494,0.0018341217233614636,17.58651579327921,0.015101124014264748
3_fs1.0,nom,3259.6140836156897,61.0,0.01750107508987707,0.0022040871352198613,17.84051760654333,0.013904666606397038
4_fs1.0,nom,3951.475386995169,69.60000000000001,0.014874002805930084,0.0021508710293209592,19.572709083526462,0.016804877190293045
5_fs1.0,nom,3601.8260191976638,77.60000000000001,0.014221920148160231,0.002101376757193075,19.51627627096798,0.015060323823273712
6_fs1.0,nom,3596.4283770000543,62.800000000000004,0.015614221798142622,0.0019327916432454932,18.147359791594006,0.01654909335664314
7_fs1.0,nom,3339.9845107530246,54.0,0.016348837397218364,0.0019673092099461273,16.3429654292752,0.016099893254333805
8_fs1.0,nom,3579.961310366331,77.60000000000001,0.014060740257069358,0.0019734688331088674,18.987106569953724,0.014305553558943671
3_fs0.7,nom,2640.5453813258573,59.6,0.01699168184613465,0.0020447647786635405,15.568313750417465,0.014103682738282322
3_fs0.85,nom,2951.3675924096706,60.6,0.017167863931485818,0.0021366509859231044,16.74935524649915,0.014010193919607963
3_fs1.15,nom,3267.8935580397715,62.400000000000006,0.017207927280517527,0.0021770970491519145,19.027533365490115,0.013801811425262244
3_fs1.3,nom,3033.0385584176856,64.60000000000001,0.0164094584540563,0.002119603637624361,20.236196319037187,0.013751410552090235
5_fs0.7,nom,2913.090490734865,54.400000000000006,0.01528183443671388,0.0018745555337421956,15.493354281767768,0.014908457187923685
5_fs0.85,nom,3258.934972904351,77.60000000000001,0.013495605941867892,0.0019766000901009335,18.342994640005283,0.01503519978789145
5_fs1.15,nom,3657.3791692361738,77.60000000000001,0.014860545985696218,0.0022137228190066615,20.592123017603267,0.015013881326440022
5_fs1.3,nom,3659.269067772679,62.800000000000004,0.01484426591901624,0.0018681588972478285,20.095936258105926,0.01494393092769524
rand1,rand,3540.753775996028,46.400000000000006,0.017053223199158425,0.0020739035141412064,14.161625620180345,0.015387386150488782
rand2,rand,2221.8917399671927,48.800000000000004,0.016614609075435383,0.0019701348730196207,15.350276016541377,0.014973953693133537
rand3,rand,2274.8155261330485,57.6,0.016952510607936257,0.002147959010486813,20.60208915129764,0.014081186488172193
rand4,rand,246.10071606130145,45.2,0.02158065714332044,0.002756500784843595,19.733468788453017,0.013397039293922785
rand5,rand,2485.098757016435,55.400000000000006,0.01652862069054622,0.00201992669233695,16.657190466612615,0.014814107776802784
rand6,rand,3268.3825440710857,62.800000000000004,0.01526393816958138,0.0018067750505849215,21.06837648028913,0.0163806099417493
rand7,rand,3080.3720410048513,59.800000000000004,0.0172853231004621,0.0024052994749689644,20.784516532939936,0.015353050389227582
rand8,rand,2565.108639813806,58.6,0.01348074141464302,0.0015576189803118501,16.743283042113553,0.013756830136329605
rand9,rand,3223.0727246266283,56.800000000000004,0.015285142775710968,0.0018063710601891598,23.95283356243837,0.015185180469591558
rand10,rand,401.52252444398636,46.400000000000006,0.016170068633561515,0.002317760865017781,14.807784028399594,0.015404285028191024
rand11,rand,3691.182077686767,52.2,0.016056031927580754,0.001972601837243742,19.61433284244524,0.014996909190896213
rand12,rand,2255.4995168586756,71.4,0.010870480845248099,0.0015353336542129462,13.762350457839466,0.013237588940867582
rand13,rand,2655.682090346566,156.0,0.0031516200824009116,0.001558846782740768,17.950537952057683,0.014884969102273682
rand14,rand,2703.0742423557913,77.60000000000001,0.009916305916272681,0.0017372900760331215,16.711419738537227,0.014137034761079612
rand15,rand,2801.6766468815867,76.80000000000001,0.011890247793064343,0.0015724832933666254,16.24448588744699,0.01356613731381755
rand16,rand,436.4905115265343,39.400000000000006,0.0194736974053105,0.00212809765491763,17.174746220664677,0.014257484388711703
rand17,rand,2234.2777929217855,44.2,0.016128889574115766,0.0018621242990168835,14.365331513061744,0.013949092647120527
rand18,rand,2585.2938258465615,43.400000000000006,0.019659353794752,0.0023334834877106157,18.503198645314914,0.013574809296858135
rand19,rand,267.6842718364453,42.400000000000006,0.021185916561911933,0.002820261179976041,14.395211377433238,0.011184338660049246
rand20,rand,2563.4598000597744,75.0,0.014422953283328153,0.0021379252087753106,15.907686536677982,0.015889963219379605
rand21,rand,2154.2252890679383,44.2,0.01660400772248973,0.0019527898449113418,12.342509670208063,0.015175071594520702
rand22,rand,2368.862995632697,48.0,0.017581050816358083,0.002031200953492982,17.29167245815637,0.014235286597384272
rand23,rand,2465.836956013367,61.800000000000004,0.013478337513717605,0.0018544470234295592,16.421883241809912,0.012740450898992737
rand24,rand,3015.9282891766766,185.4,0.0030999459187940836,0.001683408769215193,21.733957180576915,0.014197679683983324
