family,run,episode,dt_dec,n_steps,n_bad_steps,hours_bad,n_tr,n_bad_tr,bad_tr_phase1,bad_tr_phase2,n_tr_phase1,n_tr_phase2,first_bad_h,final_P
Archive 2,Archive 2/dual_phase_baseline/seed4_10,0,5.111111111111111,1150,16,3.2,44,1,0,1,17,27,210.20000000000002,22.783749185804588
Archive 2,Archive 2/dual_phase_baseline/seed4_10,1,5.111111111111111,1150,113,22.6,44,7,4,3,17,27,72.60000000000001,28.211753549982404
Archive 2,Archive 2/dual_phase_baseline/seed4_10,2,5.111111111111111,1150,8,1.6,44,2,0,2,17,27,201.8,24.5971688251632
Archive 2,Archive 2/dual_phase_baseline/seed4_10,3,5.111111111111111,1150,169,33.800000000000004,44,8,1,7,17,27,85.80000000000001,24.45024755748408
Archive 2,Archive 2/dual_phase_baseline/seed4_10,4,5.111111111111111,1150,11,2.2,44,2,1,1,17,27,88.0,28.62097404135479
Archive 2,Archive 2/dual_phase_baseline/seed4_10,5,5.111111111111111,1150,51,10.200000000000001,44,6,2,4,17,27,83.0,25.022776428894495
Archive 2,Archive 2/dual_phase_baseline/seed4_10,6,5.111111111111111,1150,130,26.0,44,8,2,6,17,27,83.2,27.714330326257947
Archive 2,Archive 2/dual_phase_baseline_priors/seed4_1,0,5.111111111111111,1150,16,3.2,44,1,0,1,17,27,210.20000000000002,22.783749185804588
Archive 2,Archive 2/dual_phase_baseline_priors/seed4_1,1,5.111111111111111,1150,3,0.6000000000000001,44,1,0,1,17,27,195.4,26.770086495743037
Archive 2,Archive 2/dual_phase_baseline_priors/seed4_1,2,5.111111111111111,1150,24,4.800000000000001,44,3,2,1,17,27,40.6,23.357683212080694
Archive 2,Archive 2/dual_phase_baseline_priors/seed4_1,3,5.111111111111111,1150,195,39.0,44,10,0,10,17,27,160.4,23.105658046668427
Archive 2,Archive 2/dual_phase_baseline_priors/seed4_1,4,5.111111111111111,1150,0,0.0,44,0,0,0,17,27,,26.47767525425661
