batch,yield,final_penicillin_conc,max_penicillin_conc,mean_penicillin_conc,final_volume,mean_pH,mean_temperature,final_biomass,max_biomass,mean_biomass,final_weight,max_weight,mean_weight,max_viscosity,mean_viscosity,visc_soft_violation,visc_collapse,wt_soft_violation,wt_collapse,collapsed
0,2986.218667101133,21.651001302592707,21.651001302592707,12.15463841543675,99644.42854933675,6.430184991894525,297.9953507375915,17.057414742114563,20.35156935612713,16.39555643786095,108007.68691981431,108007.68691981431,90780.3206047511,73.37595220653681,45.98624530268463,False,False,False,False,False
1,3638.542090043814,29.03229534245358,29.03229534245358,15.490616020783845,87886.11290349011,6.498054103047978,298.03110744332935,21.402441708313717,24.729184348473034,19.56728939126063,97920.08640667371,99891.31193103241,86694.05983288158,85.39779279370653,52.32800912600441,True,False,False,False,False
2,3207.172661518576,23.582070596234445,23.582070596234445,13.077298616531442,97347.31851235023,6.492211828233311,297.98145506898123,17.554153144103758,21.16133835896105,16.801157218020133,106310.04859366422,106310.04859366422,90433.9989008041,75.72228167808983,46.435167522255746,False,False,False,False,False
3,3259.6140836156897,25.615053885562528,25.654043413893024,13.521348677737798,89821.21752601251,6.4982465646826535,297.99632882085626,21.130090840149624,24.10468571473971,18.927307668033503,98159.00516443336,100229.928378784,86702.76827785673,82.49449866781049,50.24767973368424,True,False,False,False,False
4,3951.475386995169,31.37691898240192,31.37691898240192,16.62786180949861,88273.7784640913,6.4971256235370545,298.098451040473,21.333630573010662,25.591318563203746,19.885691209402804,98066.58136971667,99378.260571164,86211.09002466107,88.632087199888,53.672732591248874,True,False,False,False,False
5,3601.8260191976638,28.773688639131674,28.773688639131674,15.1199151269251,88590.21958406654,6.49822511951993,298.0031088839559,21.14330779798715,23.211269453008306,18.749215015381306,98421.51366809584,100744.41752421667,87192.13220926786,81.07958958952271,50.32842550791285,True,False,False,False,False
6,3596.4283770000543,27.20264444418036,27.33017938180597,15.445900366916328,92598.90911130005,6.497738741718324,297.997268531194,18.88744579661431,22.753555015926263,18.207288101062016,101489.31087610734,101489.31087610734,87628.00214621554,80.24726047425325,49.360240078304976,True,False,False,False,False
7,3339.9845107530246,25.012949843439124,25.012949843439124,13.488522123913079,96403.20968164373,6.476737984395702,297.97342230404456,17.553437585099797,19.275876708752666,16.138240773636944,104751.77154464167,104756.92608374203,90051.35489695099,72.0979017325947,44.98031065348475,False,False,False,False,False
8,3579.961310366331,28.38149596450671,28.435935572031152,15.082945218537434,88553.7405634327,6.498478227978178,298.0132536173668,21.5941456335806,24.730101348109258,19.1484197371098,98455.4411440867,100972.69836258428,87179.70082042179,83.11148352299922,50.91843159854937,True,False,False,False,False
9,3691.2339024740086,29.269814638363815,29.269814638363815,15.587426923066621,88463.5021701325,6.498643658021087,298.0187816557201,21.120450486760426,24.214506533236275,19.2704807664136,98199.4548638757,100228.86424719538,86769.88882236229,83.77399051742894,51.40790967014645,True,False,False,False,False
10,3521.8633776491038,26.218717660803314,26.218717660803314,15.172525999472716,93869.23333878304,6.4958338941819935,298.00034184495826,18.82965547771882,23.26291885635755,18.391718605811697,102155.21439226845,102155.21439226845,87107.0325204315,81.45778619398273,49.74486213758419,True,False,False,False,False
11,3485.0000238845037,27.106287319037975,27.106287319037975,14.506132257453409,91124.71427904925,6.498166741059124,297.98716822749043,19.597964880379724,21.993597368501533,17.787498139751357,100211.11381515922,101759.35250042687,87641.71058251325,78.50427971126778,48.42734471029777,False,False,False,False,False
12,3314.6399332452884,25.91026071054829,25.91026071054829,12.808327575636389,92835.68733067051,6.413835550572268,297.973427490283,19.603457625041283,20.79663885870188,16.671962853153047,102039.81492948635,104863.37577901992,89946.33871402527,74.884804754719,46.00510919436671,False,False,False,False,False
13,3360.6390935939094,25.389625973400978,25.389625973400978,13.787431812309197,94152.69930515297,6.495671054510007,297.98318224552025,18.22926866248133,20.927270277884773,17.073286227595254,102837.39465742382,103113.73204735639,88549.21293965483,76.54828245695097,47.33698894433199,False,False,False,False,False
14,2984.376633978634,21.530414749983144,21.530414749983144,11.198757775972418,102265.27660053974,6.132113683601466,297.95411565348934,15.860728686494879,17.06737321080972,14.235911706684654,111458.26827478052,111458.26827478052,94324.68792721178,66.70208192477018,41.058875981766846,False,False,True,False,False
15,3138.851364759415,24.110729091528512,24.110729091528512,12.897017944872923,92907.99668323704,6.497791140364258,297.98000930412525,19.11352857546368,21.449021918514863,17.353377200881848,102299.88377143504,102926.81271457297,89085.03118352291,77.07682861524127,47.49981137179197,False,False,False,False,False
16,3175.751975216644,23.955120154164298,23.955120154164298,13.225846680570301,94032.64832916576,6.494493802797505,298.00832995453703,18.560397681907972,21.445741216424885,17.66710571331844,102852.69533934267,102852.69533934267,88511.45983443104,77.98208423889396,48.320101688731555,False,False,False,False,False
17,3492.2635027913743,27.419705260687937,27.419705260687937,14.624240055246343,89638.4392731154,6.498133466709762,298.013627721676,20.645058005770885,23.681035152118273,18.775122916952114,97953.1862137552,99761.09740923594,86155.87863190277,82.4347294473404,50.567329662017,True,False,False,False,False
18,3174.7459948285805,24.46250708043166,24.46250708043166,13.607811836315092,91044.19844964423,6.4969225799085715,298.04756515798,19.522108542769192,22.83793804036392,18.600255313803583,100226.48700921543,100496.23090408625,86890.75114075371,81.00741498835286,50.50587676567586,True,False,False,False,False
19,3187.8876867779645,24.03168616886921,24.03168616886921,12.680146798629762,95641.21702943301,6.496076981248296,297.96825536309336,17.709251130951742,19.99828894496936,16.304247703542213,104755.61865909734,104755.61865909734,90202.04035659616,74.18278608718946,45.88368349601045,False,False,False,False,False
20,3532.0014755472157,27.187059482793718,27.217215063748643,15.013113900087369,91212.85186855217,6.497342595477282,298.00072546079895,19.458512441917645,23.157092381172152,18.312343219378544,100719.32447515597,100719.32447515597,87458.89450051774,80.89862164025261,49.44702642792679,True,False,False,False,False
21,3279.7857779154065,24.32479890254819,24.32479890254819,13.879340777486286,95419.36012483833,6.476213486680175,297.9880374656099,18.258029635654196,22.60126995823729,17.59380331727809,103995.3306223621,103995.3306223621,88503.88241795615,78.12099186903596,48.27362757145853,False,False,False,False,False
22,3181.970292719022,25.161753450117867,25.161753450117867,13.69558029355934,88339.01134948387,6.497215756297731,298.1132846841767,21.49155322460285,26.049740174932833,20.194541454554624,97309.82484984453,98081.31408279802,85256.29236610362,88.76761739330566,53.915554863962065,True,False,False,False,False
23,2770.808585664776,19.7477565522611,20.106935572408304,11.34190417742059,100412.91209982413,6.42868165990103,297.97902514969564,16.213619063119562,20.14244251362528,16.39163481246825,109319.29270903903,109319.29270903903,90626.13571531931,74.14418594250826,46.29975680473045,False,False,False,False,False
24,3355.4472891098394,26.197765668857766,26.20565815569545,13.799762334027383,91026.06986395703,6.495545677852691,298.0047792120884,19.515395945852802,21.619418819400273,17.83373845495629,100468.34862916221,102331.17633530978,87930.08265882957,78.67103662259436,48.96481048273877,False,False,False,False,False
25,3698.8339534594143,29.65539696139243,29.65539696139243,14.860629795850185,89131.28797613703,6.498666123719424,297.99305849569805,20.987527294966366,22.678083408959914,18.14668295138254,98827.12098038361,101683.63839320379,87760.14170593797,80.13554238018082,49.149041652770826,True,False,False,False,False
26,3390.992248552022,26.746192531121803,26.746192531121803,14.01191477933987,89925.71734081024,6.498499641173088,297.9909094694713,20.33070237172074,22.567068560676827,18.223417438656824,98120.45176101339,100248.81292372363,86353.53343578815,79.94178187099406,49.211386530125225,False,False,False,False,False
27,3148.9419029541746,24.58657938023241,24.58657938023241,13.317843310029563,90281.99243575233,6.497706186698119,298.02312416567605,19.841408825079856,22.380796311493754,18.394093773432292,101024.45963330768,102115.91817040584,88181.96386878283,80.32515164332641,50.00861264121776,True,False,False,False,False
28,3236.398044752652,25.08757265551334,25.08757265551334,12.864675028564834,93011.80360612301,6.497340554577814,297.9776681232211,19.363305933011972,21.07313539329515,17.11251963429584,101185.98865925723,102209.52468675488,88314.3570901648,76.52172182798445,47.26719964708185,False,False,False,False,False
29,3595.37500536291,28.638795072846573,28.638795072846573,14.636430145660231,89369.30932547495,6.498053980921952,297.9948047412205,20.70760085142695,22.645502649977452,18.118364184370236,99897.52760153552,102514.97076591049,88530.54161715062,80.14788414004398,49.317454468569444,True,False,False,False,False
30,3525.971202142682,27.77525000806402,27.77525000806402,13.966788692905817,91455.94490338319,6.484368203964277,297.9779335031129,19.843175661162213,21.25757529626252,17.26771094654485,100627.16127443721,103452.82269830164,88896.65143365365,76.38172999574104,47.14504697883512,False,False,False,False,False
31,3143.9300825740934,24.7843407709845,24.7843407709845,12.236341629281577,91815.20634593986,6.493181703799946,297.98229695005097,20.684919918222928,22.05685583215253,17.495168375283846,100115.7101376032,102785.11764389166,88637.42297922808,77.93078755651561,47.56169714163227,False,False,False,False,False
32,3964.0769473903097,31.302916021871777,31.30448535060413,16.594863282842425,89043.91265816717,6.497738459632006,298.0336636113763,20.153218670384604,23.098156001226684,18.60554891989709,99335.77709500414,101186.16245979528,87439.33361844612,81.86139432772218,50.411218777066445,True,False,False,False,False
33,3241.0488825818816,24.828971161440215,24.834524081161533,13.450727039274096,92559.1249466133,6.497821299041942,297.9881030749248,19.567117760946132,22.198593513387017,17.940700113192957,101641.32948878678,102759.96192747164,88791.71636925876,78.82708896210208,48.448661283882366,False,False,False,False,False
34,3371.3557671268823,24.79970773127971,24.79970773127971,13.855010131743832,97545.33049393902,6.469309434839205,297.97995271467903,17.11909696099147,20.47886113412761,16.465117513502264,105667.1995026803,105667.1995026803,89731.37489751884,73.66214396845263,46.00590973947006,False,False,False,False,False
35,3269.0971262889702,24.137002049431164,24.137002049431164,13.711746955482136,96600.81545331948,6.469769508365949,297.9868638136145,17.334569548211302,20.493485768719683,16.78724624777125,105754.40941737569,105754.40941737569,89993.68824851868,73.81166347977886,46.38612780700158,False,False,False,False,False
36,3197.6079861362778,24.68128541624298,24.68128541624298,13.313578477179048,91780.89624058791,6.498186744984991,297.98520190481037,19.528178316655502,22.084666432496242,17.837273255356077,100987.29660065103,102460.45131796002,88333.4535026474,78.24696186765901,48.26569636460264,False,False,False,False,False
